81|MALUKU
81.02.01.2015|Faan
81.02.01.2016|Sathean
81.02.01.2017|Ibra
81.02.01.2018|Ngabub
81.02.01.2048|Ohoidertawun
81.02.01.2049|Kelanit
81.02.01.2051|Kolser
81.02.01.2052|Letman
81.02.01.2057|Wearlilir
81.02.01.2067|Ohoider Atas
81.02.01.2068|Dudunwahan
81.02.01.2069|Loon
81.02.01.2071|Sitniohoi
81.02.03|Kei Besar
81.02.03.2001|Werka
81.02.03.2002|Waur
81.02.03.2003|Ohoinangan
81.02.03.2004|Ler Ohoilim
81.02.03.2005|Rahareng
81.02.03.2006|Elat
81.02.03.2007|Depur
81.02.03.2008|Ohoilim
81.02.03.2009|El Ralang
81.02.03.2015|Reyamru
81.02.03.2016|Fako
81.02.03.2017|Yamtel
81.02.03.2018|Waur Tahit
81.02.03.2019|Ngefuit
81.02.03.2020|Ohoiel
81.02.03.2021|Ohoiwait
81.02.03.2022|Ohoiwang
81.02.03.2023|Fangamas
81.02.03.2024|Ohoinangan Atas
81.02.03.2025|Harangur
81.02.03.2026|Udar
81.02.03.2027|Daftel
81.02.03.2028|Karkarit
81.02.03.2029|Rahareng Atas
81.02.03.2030|Wulurat
81.02.03.2031|Wakol
81.02.03.2032|Ngurdu
81.02.03.2033|Soinrat
81.02.03.2034|Wermaf
81.02.03.2035|Bombay
81.02.03.2036|Watsin
81.02.03.2037|Sirbante
81.02.03.2038|Ngat
81.02.03.2039|Nabaheng
81.02.03.2040|Ngefuit Atas
81.02.03.2041|Watuar
81.02.03.2042|Mataholat
81.02.04|Kei Besar Selatan
81.02.04.2001|Weduar
81.02.04.2003|Nerong
81.02.04.2004|Larat
81.02.04.2005|Tamangil Nuhuten
81.02.04.2006|Tamangil Nuhuyanat
81.02.04.2012|Kilwat
81.02.04.2013|Sather
81.02.04.2014|Tutrean
81.02.04.2015|Ohoirenan
81.02.04.2016|Soindat
81.02.05|Kei Besar Utara Timur
81.02.05.2001|Hollat
81.02.05.2002|Ohoiraut
81.02.05.2003|Haar Ohoimel
81.02.05.2004|Langgiar Haar
81.02.05.2005|Banda Eli
81.02.05.2006|Watlaar
81.02.05.2007|Ohoifau
81.02.05.2008|Kilwair
81.02.05.2009|Renfan
81.02.05.2010|Hollat Solair
81.02.05.2011|Hoko
81.02.05.2012|Hollay
81.02.05.2013|Soin
81.02.05.2014|Haar Ohoimur GPM
81.02.05.2015|Haar Ohoimur RK
81.02.05.2016|Haar Ohoiwait
81.02.05.2017|Haar Wassar
81.02.05.2018|Haar Renrahantel
81.02.05.2019|Ur
81.02.05.2020|Ohoimajang
81.02.05.2021|Banda Efruan
81.02.05.2022|Banda Suku Tigapuluh
81.02.05.2023|Tuburlay
81.02.05.2024|Ohoifaruan
81.02.05.2025|Ohoiwirin
81.02.05.2026|Tuburngil
81.02.05.2027|Yamtimur
81.02.05.2028|Renfaan Islam
81.02.05.2029|Renfaan GPM
81.02.05.2030|Fanwav
81.02.13|Kei Kecil Timur
81.02.13.2001|Wain
81.02.13.2002|Rewav
81.02.13.2003|Rumaat
81.02.13.2004|Rat
81.02.13.2005|Abean
81.02.13.2006|Mastur
81.02.13.2013|Ohoinol
81.02.13.2014|Semawi
81.02.13.2015|Iso
81.02.13.2016|Disuk
81.02.13.2017|Wain Baru
81.02.13.2018|Marfun
81.02.13.2019|Watngon
81.02.13.2020|Yafavun
81.02.13.2021|Mastur Baru
81.02.13.2022|Ohoilus
