62|KALIMANTAN TENGAH
62.02.08.2007|Samuda Kecil
62.02.08.2010|Jaya Kelapa
62.02.08.2011|Basirih Hulu
62.02.08.2012|Jaya Karet
62.02.08.2013|Handil Sohor
62.02.08.2014|Sei Ijum Raya
62.02.09|Pulau Hanaut
62.02.09.2001|Bapinang Hulu
62.02.09.2002|Bapinang Hilir
62.02.09.2003|Bapinang Hilir Laut
62.02.09.2004|Satiruk
62.02.09.2005|Makarti Jaya
62.02.09.2006|Rawa Sari
62.02.09.2007|Hanaut
62.02.09.2008|Babirah
62.02.09.2009|Serambut
62.02.09.2010|Babaung
62.02.09.2011|Bamadu
62.02.09.2012|Penyaguan
62.02.09.2013|Hantipan
62.02.09.2014|Bantian
62.02.10|Antang Kalang
62.02.10.2001|Tumbang Kalang
62.02.10.2002|Kuluk Telawang
62.02.10.2003|Sungai Puring
62.02.10.2004|Tumbang Ngahan
62.02.10.2005|Tumbang Ramei
62.02.10.2006|Tumbang Hejan
62.02.10.2007|Sungai Hanya
62.02.10.2008|Tumbang Sepayang
62.02.10.2016|Buntut Nusa
62.02.10.2017|Tumbang Gagu
62.02.10.2021|Tumbang Manya
62.02.10.2025|Gunung Makmur
62.02.10.2027|Mulya Agung
62.02.10.2028|Bhakti Karya
62.02.10.2029|Waringin Agung
62.02.11|Teluk Sampit
62.02.11.2001|Parebok
62.02.11.2002|Basawang
62.02.11.2003|Lampuyang
62.02.11.2004|Ujung Pandaran
62.02.11.2005|Regei Lestari
62.02.11.2006|Kuin Permai
62.02.12|Seranau
62.02.12.1001|Mentaya Seberang
62.02.12.2002|Terantang
62.02.12.2003|Batuah
62.02.12.2004|Terantang Hilir
62.02.12.2005|Ganepo
62.02.12.2006|Seragam Jaya
62.02.13|Cempaga Hulu
62.02.13.2001|Pundu
62.02.13.2002|Keruing
62.02.13.2003|Parit
62.02.13.2004|Pantai Harapan
62.02.13.2005|Pelantaran
62.02.13.2006|Tumbang Koling
62.02.13.2007|Sudan
62.02.13.2008|Bukit Batu
62.02.13.2009|Bukit Raya
62.02.13.2010|Selucing
62.02.13.2011|Sungai Ubar Mandiiri
62.02.14|Telawang
62.02.14.2001|Sebabi
62.02.14.2002|Tanah Putih
62.02.14.2003|Sumber Makmur
62.02.14.2004|Kenyala
62.02.14.2005|Penyang
62.02.14.2006|Biru Maju
62.02.15|Bukit Santuai
62.02.15.2001|Tumbang Tilap
62.02.15.2002|Tumbang Kaminting
62.02.15.2003|Tanah Haluan
62.02.15.2004|Tumbang Penyahuan
62.02.15.2005|Tumbang Sapia
62.02.15.2006|Tumbang Getas
62.02.15.2007|Tewai Hara
62.02.15.2008|Tumbang Payang
62.02.15.2009|Tumbang Kania
62.02.15.2010|Tumbang Tawan
62.02.15.2011|Lunuk Bagantung
62.02.15.2012|Tumbang Torung
62.02.15.2013|Tumbang Batu
62.02.15.2014|Tumbang Saluang
62.02.16|Tualan Hulu
62.02.16.2001|Luwuk Sampun
62.02.16.2002|Tumbang Mujam
62.02.16.2003|Merah
62.02.16.2004|Tanjung Jorong
62.02.16.2005|Sebungsu
62.02.16.2006|Bukit Makmur
62.02.16.2007|Wonosari
62.02.16.2008|Mekar Sari
62.02.16.2009|Damar Makmur
62.02.16.2010|Cempaka Putih
62.02.16.2011|Jati Waringin
62.02.17|Telaga Antang
62.02.17.2001|Tumbang Boloi
62.02.17.2002|Luwuk Kowan
62.02.17.2003|Rantau Tampang
62.02.17.2004|Tumbang Mangkup
62.02.17.2005|Rantau Katang
62.02.17.2006|Tumbang Sangai
62.02.17.2007|Tukang Langit
62.02.17.2008|Beringin Agung
62.02.17.2009|Agung Mulya
62.02.17.2010|Batu Agung
62.02.17.2011|Bukit Indah
62.02.17.2012|Tumbang Puan
62.02.17.2013|Rantau Suang
62.02.17.2014|Rantau Sawang
62.02.17.2015|Tanjung Harapan
62.02.17.2016|Buana Mustika
