76|SULAWESI BARAT
76.03.02.2016|Pamoseang Pangga
76.03.02.2017|Kalabe
76.03.02.2018|Aralle Selatan
76.03.02.2019|Hahangan
76.03.03|Mamasa
76.03.03.1001|Mamasa
76.03.03.2002|Rambusaratu
76.03.03.2003|Osango
76.03.03.2004|Lambanan
76.03.03.2005|Lembana Salulo
76.03.03.2006|Taupe
76.03.03.2007|Buntu Buda
76.03.03.2008|Tondok Bakaru
76.03.03.2009|Pebassian
76.03.03.2010|Mambuliling
76.03.03.2011|Bombong Lambe
76.03.03.2012|Bubun Batu
76.03.04|Pana
76.03.04.1001|Pana
76.03.04.2003|Manipi
76.03.04.2005|Mamullu
76.03.04.2006|Sapan
76.03.04.2009|Datubaringan
76.03.04.2010|Panura
76.03.04.2011|Tallang Bulawan
76.03.04.2012|Karaka
76.03.04.2013|Ulusalu
76.03.04.2014|Weri
76.03.04.2015|Salutambun
76.03.04.2016|Saloan
76.03.04.2017|Ulusalu Indah
76.03.05|Tabulahan
76.03.05.1001|Lakahang
76.03.05.2002|Periangan
76.03.05.2003|Malatiro
76.03.05.2004|Tabulahan
76.03.05.2005|Saluleang
76.03.05.2007|Tampak Kurra
76.03.05.2008|Gandang Dewata
76.03.05.2009|Burana
76.03.05.2010|Salubakka
76.03.05.2011|Pangandaran
76.03.05.2012|Talopak
76.03.05.2013|Peu'
76.03.05.2014|Timoro
76.03.05.2015|Lakahang Utama
76.03.06|Sumarorong
76.03.06.1001|Sumarorong
76.03.06.1002|Tabone
76.03.06.2003|Batang Uru
76.03.06.2004|Sasakan
76.03.06.2005|Tadisi
76.03.06.2006|Sibanawa
76.03.06.2007|Batangnguru Timur
76.03.06.2008|Salubalo
76.03.06.2009|Banea
76.03.06.2010|Rante Kamase
76.03.07|Messawa
76.03.07.1001|Messawa
76.03.07.2002|Rippung
76.03.07.2003|Makuang
76.03.07.2004|Sepang
76.03.07.2005|Malimbong
76.03.07.2006|Matande
76.03.07.2007|Sipai
76.03.07.2008|Pasma Mambu
76.03.07.2009|Tanete Batu
76.03.08|Sesenapadang
76.03.08.2002|Orobua
76.03.08.2003|Paladan
76.03.08.2004|Orobua Timur
76.03.08.2006|Rante Puang
76.03.08.2007|Satenetean
76.03.08.2008|Lisuan Ada
76.03.08.2010|Orobua Selatan
76.03.08.2012|Malangkena Padang
76.03.08.2013|Malimbong
76.03.08.2014|Marampan Orobua
76.03.09|Tanduk Kalua
76.03.09.1011|Minake
76.03.09.2001|Malabo
76.03.09.2005|Sindagamanik
76.03.09.2006|Parondobulawan
76.03.09.2007|Tamalantik
76.03.09.2008|Mannababa
76.03.09.2009|Mesakada
76.03.09.2010|Ballabatu
76.03.09.2012|Pambe
76.03.09.2013|Salurano
76.03.09.2014|Talimbung
76.03.09.2015|Kanan
76.03.10|Tabang
76.03.10.1001|Tabang
76.03.10.2003|Tadokalua
76.03.10.2004|Tabang Barat
76.03.10.2005|Masupu
76.03.10.2006|Kalama
76.03.10.2007|Bakadisura
76.03.10.2008|Salukona
76.03.11|Bambang
76.03.11.2001|Mokallang
76.03.11.2002|Masoso
76.03.11.2003|Saluassing
76.03.11.2004|Salubulo
76.03.11.2005|Salukadi
76.03.11.2006|Salukepopok
76.03.11.2007|Ulumambi Barat
76.03.11.2008|Limbadebata
76.03.11.2009|Tanete Tomba
76.03.11.2010|Bambang
76.03.11.2011|Rantelemo
76.03.11.2012|Saludengen
76.03.11.2013|Ulumambi
76.03.11.2014|Bambang Timur
76.03.11.2015|Minanga
76.03.11.2016|Sikamase
76.03.11.2017|Rantetarima
76.03.11.2018|Salururu
76.03.11.2019|Salutabang
76.03.11.2020|Balatana
76.03.12|Balla
76.03.12.2001|Balla
76.03.12.2002|Balla Barat
76.03.12.2003|Balla Satanetean
76.03.12.2004|Balla Tumuka
76.03.12.2005|Sepakuan
76.03.12.2006|Pidara
76.03.12.2007|Bambapuang
76.03.12.2008|Balla Timur
76.03.13|Nosu
76.03.13.1001|Nosu
76.03.13.2002|Minanga
76.03.13.2003|Batupapan
76.03.13.2004|Masewwe
76.03.13.2005|Siwi
76.03.13.2006|Minanga Timur
76.03.13.2007|Parinding
76.03.14|Tawalian
76.03.14.1001|Tawalian
76.03.14.2002|Tawalian Timur
76.03.14.2003|Kariango
76.03.14.2004|Rantetangnga
76.03.15|Rantebulahan Timur
76.03.15.2001|Salumokanan
76.03.15.2003|Salumokanan Barat
76.03.15.2004|Buangin
76.03.15.2005|Bambang Buda
76.03.15.2006|Leko
76.03.15.2007|Kirak
76.03.15.2008|Salumokanan Utara
76.03.15.2009|Sampale
76.03.16|Buntumalangka
76.03.16.2001|Buntumalangka
76.03.16.2002|Ranteberan
76.03.16.2003|Kebanga
76.03.16.2004|Salurindu
76.03.16.2005|Taora
76.03.16.2006|Kabae
76.03.16.2007|Salutambun Barat
76.03.16.2008|Penatangan
76.03.16.2009|Salutambun Timur
76.03.16.2010|Salutambun
76.03.16.2011|Aralle Timur
76.03.17|Mehalaan
76.03.17.2001|Mehalaan
76.03.17.2002|Botteng
76.03.17.2003|Salukonta
76.03.17.2004|Mesakada
76.03.17.2005|Mehalaan Barat
76.03.17.2006|Saluahok
76.03.17.2007|Salubalo
76.03.17.2008|Passembuk
76.03.17.2009|Kondo
76.03.17.2010|Leko Sukamaju
76.03.17.2011|Ulumea
76.04|KAB. POLEWALI MANDAR
76.04.01|Tinambung
76.04.01.1001|Tinambung
76.04.01.2002|Karama
76.04.01.2003|Tangnga Tangnga
76.04.01.2004|Lekopadis
